Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
SEN,2013-01-01,2013-12-31,195,Senegal,217,"Cashew nuts, with shell",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,413.000000,
SEN,2014-01-01,2014-12-31,195,Senegal,217,"Cashew nuts, with shell",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,433.000000,
SEN,2017-01-01,2017-12-31,195,Senegal,217,"Cashew nuts, with shell",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,793.000000,
SEN,2018-01-01,2018-12-31,195,Senegal,217,"Cashew nuts, with shell",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,829.000000,
SEN,2019-01-01,2019-12-31,195,Senegal,217,"Cashew nuts, with shell",5532,Producer Price (USD/tonne),2019,2019,7021,Annual value,USD,683.000000,
SEN,1991-01-01,1991-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,84.000000,Im
SEN,1992-01-01,1992-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,64.000000,Im
SEN,1993-01-01,1993-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,64.000000,Im
SEN,1994-01-01,1994-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,83.000000,Im
SEN,1995-01-01,1995-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,102.000000,Im
SEN,1996-01-01,1996-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,189.000000,Im
SEN,1997-01-01,1997-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,362.000000,Im
SEN,1998-01-01,1998-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,258.000000,Im
SEN,1999-01-01,1999-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,278.000000,Im
SEN,2000-01-01,2000-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,208.000000,Im
SEN,2001-01-01,2001-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,238.000000,Im
SEN,2002-01-01,2002-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,268.000000,Im
SEN,2003-01-01,2003-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,268.000000,Im
SEN,2004-01-01,2004-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,268.000000,Im
SEN,2005-01-01,2005-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,226.000000,Im
SEN,2006-01-01,2006-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,147.000000,Im
SEN,2007-01-01,2007-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,100.000000,Im
SEN,2008-01-01,2008-12-31,195,Senegal,217,"Cashew nuts, with shell",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,123.000000,Im
